"Hashtag1";"Hashtag2";"Correlation"
"Alep";"Syrie";"0.6645343"
"AnisAmri";"AuNomDuPeuple";"0.5642587"
"AnisAmri";"ConventionMLP";"0.5357492"
"AnisAmri";"Schengen";"0.6026530"
"AuNomDuPeuple";"ConventionMLP";"0.7869565"
"AuNomDuPeuple";"FaitesLeBonChoix";"0.6173015"
"AuNomDuPeuple";"Fillon";"0.5126563"
"AuNomDuPeuple";"Guyane";"0.6628690"
"AuNomDuPeuple";"LeVraiFillon";"0.7406881"
"AuNomDuPeuple";"Marine2017";"0.8162559"
"AuNomDuPeuple";"migrants";"0.5014044"
"AuNomDuPeuple";"outremer";"0.5345901"
"AuNomDuPeuple";"Schengen";"0.5131426"
"AvecMV";"Valls2017";"0.8367018"
"AvenirEnCommun";"FranceInsoumise";"0.6472860"
"AvenirEnCommun";"JLM2017";"0.7328389"
"benoithamon2017";"Hamon2017";"0.6642294"
"benoithamon2017";"Japy";"0.7177092"
"Berlin";"Fillon";"0.5239252"
"Cazeneuve";"Hollande";"0.5030768"
"CES2017";"FrenchTech";"0.5657362"
"CharlieHebdo";"JeSuisCharlie";"0.5420122"
"CNPS";"PrimairesCitoyennes";"0.5044474"
"Conferasmus";"Erasmus";"0.5839285"
"ConseildeParis";"Paris";"0.5517701"
"ConventionMLP";"FaitesLeBonChoix";"0.5731553"
"ConventionMLP";"Guyane";"0.7378687"
"ConventionMLP";"LeVraiFillon";"0.6963947"
"ConventionMLP";"Marine2017";"0.7593897"
"ConventionMLP";"outremer";"0.5250278"
"ConventionMLP";"Schengen";"0.5297938"
"En2017";"Paris";"0.5813389"
"FaitesLeBonChoix";"LeVraiFillon";"0.5350843"
"FaitesLeBonChoix";"Marine2017";"0.6603833"
"Fillon";"LeVraiFillon";"0.6103331"
"Fillon";"Macron";"0.5300400"
"Fillon";"Marine2017";"0.5350518"
"Fillon";"migrants";"0.5263250"
"FranceInsoumise";"JLM2017";"0.7623904"
"FrenchTech";"startup";"0.5188405"
"FrenchTech";"startups";"0.5395826"
"Guyane";"LeVraiFillon";"0.5165846"
"Guyane";"Marine2017";"0.6265901"
"Guyane";"outremer";"0.6796072"
"Hamon2017";"Japy";"0.8018026"
"Hamon2017";"QuestionsPol";"0.6191976"
"Hamon2017";"RevenuUniversel";"0.6776446"
"Lagarde";"Valls";"0.5028339"
"LEmissionPolitique";"Valls2017";"0.5955445"
"LePen";"Mélenchon";"0.5153134"
"LeVraiFillon";"Marine2017";"0.7787093"
"LeVraiFillon";"migrants";"0.5338483"
"LeVraiFillon";"Schengen";"0.5138461"
"Liévin";"Valls2017";"0.6546985"
"LoiTravail";"smic";"0.5349781"
"Macron";"Valls";"0.5013935"
"Marine2017";"Schengen";"0.5798353"
"Obama";"Poutine";"0.5282010"
"ONPC";"peillon2017";"0.6889194"
"ouijevote";"PrimairesCitoyennes";"0.5218232"
"peillon2017";"projet";"0.6735206"
"Poutine";"Russie";"0.5926800"
"Poutine";"Syrie";"0.5624093"
"Poutine";"Trump";"0.5109932"
"QuestionsPol";"RevenuUniversel";"0.6923965"
"Russie";"Syrie";"0.5627526"
"Uber";"VTC";"0.6250436"
