"User2";"User1";"Correlation";"PartyUser1";"PartyUser2";"User1_UserName";"User2_UserName"
"103965790";"102397481";"0.5284592";"Droite";"UMP";"Chantal_Jouanno";"CeciliaDurieu"
"105607078";"103965790";"0.5450785";"UMP";"Droite";"CeciliaDurieu";"sebchauvelleb"
"106851687";"103965790";"0.6080722";"UMP";"centre";"CeciliaDurieu";"MarieLaurent29"
"1093208600";"105607078";"0.7038366";"Droite";"UMP";"sebchauvelleb";"j_ump75"
"11090342";"103965790";"0.5200402";"UMP";"Gauche";"CeciliaDurieu";"marcvasseur"
"110969851";"104921164";"0.5112967";"PS";"PRG";"VincentGuibert";"simoncachia59"
"111323397";"103965790";"0.5139504";"UMP";"UMP";"CeciliaDurieu";"Francoispinte"
"111323397";"110940366";"0.6160752";"Droite";"UMP";"bretonxavier";"Francoispinte"
"111323397";"1093208600";"0.6531412";"UMP";"UMP";"j_ump75";"Francoispinte"
"1123600008";"102397481";"0.5358808";"Droite";"PS";"Chantal_Jouanno";"Socialiste94"
"1137018775";"110940366";"0.7055988";"Droite";"Droite";"bretonxavier";"MichelDANTIN"
"1149260660";"102458467";"0.6267668";"UMP";"UMP";"emorinchartier";"TheveninPatrick"
"116229959";"111323397";"0.5485620";"UMP";"UMP";"Francoispinte";"solere92"
"117052245";"110940366";"0.5038701";"Droite";"centre";"bretonxavier";"philippefolliot"
"117052245";"116565781";"0.5956270";"UMP";"centre";"Olaurentjoye";"philippefolliot"
"117052245";"103965790";"0.5448732";"UMP";"centre";"CeciliaDurieu";"philippefolliot"
"118341297";"110940366";"0.5121153";"Droite";"PS";"bretonxavier";"Rita_Maalouf_"
"1184256836";"110940366";"0.6705546";"Droite";"UMP";"bretonxavier";"PierreGaboriau"
"1184256836";"111323397";"0.6424584";"UMP";"UMP";"Francoispinte";"PierreGaboriau"
"12272292";"103965790";"0.5639366";"UMP";"Media";"CeciliaDurieu";"LaCroix"
"12272292";"106851687";"0.5203983";"centre";"Media";"MarieLaurent29";"LaCroix"
"1229928415";"1123600008";"0.6070011";"PS";"PS";"Socialiste94";"psparis8"
"124391791";"116229959";"0.5843965";"UMP";"UMP";"solere92";"XavierPERICAT"
"124391791";"1184256836";"0.6435781";"UMP";"UMP";"PierreGaboriau";"XavierPERICAT"
"124391791";"110940366";"0.5575994";"Droite";"UMP";"bretonxavier";"XavierPERICAT"
"124391791";"111323397";"0.7305157";"UMP";"UMP";"Francoispinte";"XavierPERICAT"
"125706476";"110940366";"0.5170521";"Droite";"PS";"bretonxavier";"lorenzichris"
"125706476";"1184256836";"0.5123293";"UMP";"PS";"PierreGaboriau";"lorenzichris"
"125706476";"110969851";"0.5049470";"PRG";"PS";"simoncachia59";"lorenzichris"
"125727024";"125423326";"0.8520759";"Gauche";"PS";"williamTchamaha";"CCastaner"
"125727024";"114512948";"0.5421055";"Media";"PS";"GG_RMC";"CCastaner"
"127643327";"104921164";"0.6287332";"PS";"PS";"VincentGuibert";"luniseMarquis"
"1283588581";"103965790";"0.5410724";"UMP";"Media";"CeciliaDurieu";"Lopinion_fr,lopinion_fr"
